order_id,rule_id,rule_name,rule_description,created_at
ORD-000804,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-02-14 23:00:00
ORD-000001,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-02-15 10:00:00
ORD-003769,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-02-20 22:00:00
ORD-002048,R007,Blacklisted IP,IP found in blacklist,2026-02-22 16:00:00
ORD-002049,R007,Blacklisted IP,IP found in blacklist,2026-02-22 16:08:00
ORD-002050,R007,Blacklisted IP,IP found in blacklist,2026-02-22 16:16:00
ORD-002051,R007,Blacklisted IP,IP found in blacklist,2026-02-22 16:24:00
ORD-002052,R007,Blacklisted IP,IP found in blacklist,2026-02-22 16:32:00
ORD-002053,R007,Blacklisted IP,IP found in blacklist,2026-02-22 16:40:00
ORD-004055,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-02-25 18:00:00
ORD-004468,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-03-05 03:00:00
ORD-004468,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-03-05 03:00:00
ORD-000518,R007,Blacklisted IP,IP found in blacklist,2026-03-09 21:00:00
ORD-000519,R007,Blacklisted IP,IP found in blacklist,2026-03-09 21:08:00
ORD-000520,R007,Blacklisted IP,IP found in blacklist,2026-03-09 21:16:00
ORD-000521,R007,Blacklisted IP,IP found in blacklist,2026-03-09 21:24:00
ORD-000522,R007,Blacklisted IP,IP found in blacklist,2026-03-09 21:32:00
ORD-000523,R007,Blacklisted IP,IP found in blacklist,2026-03-09 21:40:00
ORD-000009,R001,P2 iPhone 16 Rule,iPhone 16 order from P2 track with 180-minute delay,2026-03-10 09:24:00
ORD-004470,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-03-12 12:00:00
ORD-003998,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-03-18 04:00:00
ORD-003904,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-03-18 22:00:00
ORD-004152,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-03-20 01:00:00
ORD-003767,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-03-24 04:00:00
ORD-000020,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-03-27 11:00:00
ORD-000021,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-03-27 11:12:00
ORD-003901,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-03-29 05:00:00
ORD-003017,R007,Blacklisted IP,IP found in blacklist,2026-03-30 04:00:00
ORD-003018,R007,Blacklisted IP,IP found in blacklist,2026-03-30 04:08:00
ORD-003019,R007,Blacklisted IP,IP found in blacklist,2026-03-30 04:16:00
ORD-003020,R007,Blacklisted IP,IP found in blacklist,2026-03-30 04:24:00
ORD-003021,R007,Blacklisted IP,IP found in blacklist,2026-03-30 04:32:00
ORD-003022,R007,Blacklisted IP,IP found in blacklist,2026-03-30 04:40:00
ORD-004158,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-03-30 12:00:00
ORD-003938,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-03-31 15:00:00
ORD-003941,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-03-31 16:00:00
ORD-001810,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-02 04:00:00
ORD-001810,R007,Blacklisted IP,IP found in blacklist,2026-04-02 04:00:00
ORD-001811,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-02 04:08:00
ORD-001811,R007,Blacklisted IP,IP found in blacklist,2026-04-02 04:08:00
ORD-001812,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-02 04:16:00
ORD-001812,R007,Blacklisted IP,IP found in blacklist,2026-04-02 04:16:00
ORD-001813,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-02 04:24:00
ORD-001813,R007,Blacklisted IP,IP found in blacklist,2026-04-02 04:24:00
ORD-001814,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-02 04:32:00
ORD-001814,R007,Blacklisted IP,IP found in blacklist,2026-04-02 04:32:00
ORD-001815,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-02 04:40:00
ORD-001815,R007,Blacklisted IP,IP found in blacklist,2026-04-02 04:40:00
ORD-000022,R007,Blacklisted IP,IP found in blacklist,2026-04-02 16:30:00
ORD-003789,R005,User Spend Velocity,User spend exceeds ₹200000 within 24 hours,2026-04-04 13:00:00
ORD-004198,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-05 18:00:00
ORD-003995,R006,Multiple Users Same Email,Same email used by multiple user IDs,2026-04-08 08:00:00
ORD-003027,R007,Blacklisted IP,IP found in blacklist,2026-04-09 08:00:00
